,combination,best accuracy,cv mean accuracy,precision,recall,confusion matrix,training time,best_params
KNN,"zscore, all features",0.885,0.8302721088435373,0.9032,0.875,[[26  3] [ 4 28]],1.2219766000052914,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}"
Naive Bayes Bernoulli,"zscore, all features",0.869,0.8299319727891158,0.8529,0.9062,[[24  5] [ 3 29]],0.00810289999935776,"{'alpha': 10, 'binarize': 0.0, 'fit_prior': True}"
SVM,"zscore, all features",0.836,0.81343537414966,0.8667,0.8125,[[25  4] [ 6 26]],0.0075746000511571765,"{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}"
Naive Bayes Bernoulli,"zscore, more important features",0.869,0.8340986394557823,0.875,0.875,[[25  4] [ 4 28]],0.0069067999720573425,"{'alpha': 0.1, 'binarize': 0.0, 'fit_prior': False}"
SVM,"zscore, more important features",0.852,0.8215986394557824,0.8485,0.875,[[24  5] [ 4 28]],0.008123300038278103,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}"
KNN,"zscore, more important features",0.836,0.8048469387755102,0.8667,0.8125,[[25  4] [ 6 26]],0.007711499929428101,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}"
Naive Bayes Bernoulli,"zscore, less important features",0.607,0.5722789115646258,0.5833,0.875,[[ 9 20] [ 4 28]],0.00530989991966635,"{'alpha': 1, 'binarize': 0.5, 'fit_prior': True}"
KNN,"zscore, less important features",0.59,0.5847789115646258,0.6,0.6562,[[15 14] [11 21]],0.007317799958400428,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
SVM,"zscore, less important features",0.574,0.5103741496598639,0.5938,0.5938,[[16 13] [13 19]],0.008120500016957521,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}"
Naive Bayes Bernoulli,"zscore, all/top 8 sklearn feature selection",0.869,0.8174319727891156,0.9,0.8438,[[26  3] [ 5 27]],0.006295899976976216,"{'alpha': 0.1, 'binarize': 0.5, 'fit_prior': False}"
SVM,"zscore, all/top 8 sklearn feature selection",0.869,0.8090986394557824,0.875,0.875,[[25  4] [ 4 28]],0.007020100019872189,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
KNN,"zscore, all/top 8 sklearn feature selection",0.852,0.8298469387755102,0.8966,0.8125,[[26  3] [ 6 26]],0.008695000084117055,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 3, 'weights': 'uniform'}"
Naive Bayes Bernoulli,"zscore, top 5 sklearn feature selection",0.869,0.8174319727891156,0.9,0.8438,[[26  3] [ 5 27]],0.0054305000230669975,"{'alpha': 0.1, 'binarize': 0.5, 'fit_prior': False}"
SVM,"zscore, top 5 sklearn feature selection",0.869,0.8090986394557824,0.875,0.875,[[25  4] [ 4 28]],0.007255099946632981,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}"
KNN,"zscore, top 5 sklearn feature selection",0.852,0.8298469387755102,0.8966,0.8125,[[26  3] [ 6 26]],0.008472100016660988,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 3, 'weights': 'uniform'}"
